Diag Code   Short Description               Long Description
01081       Prim prog TB NEC-no exam        Other primary progressive tuberculosis, bacteriological or histological examination not done
01082       Prim pr TB NEC-exam unkn        Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)
01083       Prim prg TB NEC-micro dx        Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy
01084       Prim prog TB NEC-cult dx        Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01085       Prim prg TB NEC-histo dx        Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01086       Prim prg TB NEC-oth test        Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01090       Primary TB NOS-unspec           Primary tuberculous infection, unspecified, unspecified
01091       Primary TB NOS-no exam          Primary tuberculous infection, unspecified, bacteriological or histological examination not done
01092       Primary TB NOS-exam unkn        Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)
01093       Primary TB NOS-micro dx         Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy
01094       Primary TB NOS-cult dx          Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01095       Primary TB NOS-histo dx         Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01096       Primary TB NOS-oth test         Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01100       TB lung infiltr-unspec          Tuberculosis of lung, infiltrative, unspecified
01101       TB lung infiltr-no exam         Tuberculosis of lung, infiltrative, bacteriological or histological examination not done
01102       TB lung infiltr-exm unkn        Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)
01103       TB lung infiltr-micro dx        Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy
01104       TB lung infiltr-cult dx         Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01105       TB lung infiltr-histo dx        Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01106       TB lung infiltr-oth test        Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01110       TB lung nodular-unspec          Tuberculosis of lung, nodular, unspecified
01111       TB lung nodular-no exam         Tuberculosis of lung, nodular, bacteriological or histological examination not done
01112       TB lung nodul-exam unkn         Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)
01113       TB lung nodular-micro dx        Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy
01114       TB lung nodular-cult dx         Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01115       TB lung nodular-histo dx        Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01116       TB lung nodular-oth test        Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01120       TB lung w cavity-unspec         Tuberculosis of lung with cavitation, unspecified
01121       TB lung w cavity-no exam        Tuberculosis of lung with cavitation, bacteriological or histological examination not done
01122       TB lung cavity-exam unkn        Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)
01123       TB lung w cavit-micro dx        Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy
01124       TB lung w cavity-cult dx        Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01125       TB lung w cavit-histo dx        Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01126       TB lung w cavit-oth test        Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01130       TB of bronchus-unspec           Tuberculosis of bronchus, unspecified
01131       TB of bronchus-no exam          Tuberculosis of bronchus, bacteriological or histological examination not done
01132       TB of bronchus-exam unkn        Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)
01133       TB of bronchus-micro dx         Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy
01134       TB of bronchus-cult dx          Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture
01135       TB of bronchus-histo dx         Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01136       TB of bronchus-oth test         Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01140       TB lung fibrosis-unspec         Tuberculous fibrosis of lung, unspecified
01141       TB lung fibrosis-no exam        Tuberculous fibrosis of lung, bacteriological or histological examination not done
01142       TB lung fibros-exam unkn        Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)
01143       TB lung fibros-micro dx         Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy
01144       TB lung fibrosis-cult dx        Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01145       TB lung fibros-histo dx         Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01146       TB lung fibros-oth test         Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01150       TB bronchiectasis-unspec        Tuberculous bronchiectasis, unspecified
01151       TB bronchiect-no exam           Tuberculous bronchiectasis, bacteriological or histological examination not done
01152       TB bronchiect-exam unkn         Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)
01153       TB bronchiect-micro dx          Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy
01154       TB bronchiect-cult dx           Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01155       TB bronchiect-histo dx          Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01156       TB bronchiect-oth test          Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01160       TB pneumonia-unspec             Tuberculous pneumonia [any form], unspecified
01161       TB pneumonia-no exam            Tuberculous pneumonia [any form], bacteriological or histological examination not done
01162       TB pneumonia-exam unkn          Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)
01163       TB pneumonia-micro dx           Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy
01164       TB pneumonia-cult dx            Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01165       TB pneumonia-histo dx           Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01166       TB pneumonia-oth test           Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01170       TB pneumothorax-unspec          Tuberculous pneumothorax, unspecified
01171       TB pneumothorax-no exam         Tuberculous pneumothorax, bacteriological or histological examination not done
01172       TB pneumothorx-exam unkn        Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)
01173       TB pneumothorax-micro dx        Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy
01174       TB pneumothorax-cult dx         Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01175       TB pneumothorax-histo dx        Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01176       TB pneumothorax-oth test        Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01180       Pulmonary TB NEC-unspec         Other specified pulmonary tuberculosis, unspecified
01181       Pulmonary TB NEC-no exam        Other specified pulmonary tuberculosis, bacteriological or histological examination not done
01182       Pulmon TB NEC-exam unkn         Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)
01183       Pulmon TB NEC-micro dx          Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy
01184       Pulmon TB NEC-cult dx           Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01185       Pulmon TB NEC-histo dx          Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01186       Pulmon TB NEC-oth test          Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01190       Pulmonary TB NOS-unspec         Pulmonary tuberculosis, unspecified, unspecified
01191       Pulmonary TB NOS-no exam        Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done
01192       Pulmon TB NOS-exam unkn         Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)
01193       Pulmon TB NOS-micro dx          Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy
01194       Pulmon TB NOS-cult dx           Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01195       Pulmon TB NOS-histo dx          Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01196       Pulmon TB NOS-oth test          Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01200       TB pleurisy-unspec              Tuberculous pleurisy, unspecified
01201       TB pleurisy-no exam             Tuberculous pleurisy, bacteriological or histological examination not done
01202       TB pleurisy-exam unkn           Tuberculous pleurisy, bacteriological or histological examination unknown (at present)
01203       TB pleurisy-micro dx            Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy
01204       TB pleurisy-cult dx             Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01205       TB pleurisy-histolog dx         Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01206       TB pleurisy-oth test            Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01210       TB thoracic nodes-unspec        Tuberculosis of intrathoracic lymph nodes, unspecified
01211       TB thorax node-no exam          Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done
01212       TB thorax node-exam unkn        Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)
01213       TB thorax node-micro dx         Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy
01214       TB thorax node-cult dx          Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01215       TB thorax node-histo dx         Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01216       TB thorax node-oth test         Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01220       Isol tracheal tb-unspec         Isolated tracheal or bronchial tuberculosis, unspecified
01221       Isol tracheal tb-no exam        Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done
01222       Isol trach tb-exam unkn         Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)
01223       Isolat trach tb-micro dx        Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy
01224       Isol tracheal tb-cult dx        Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01225       Isolat trach tb-histo dx        Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01226       Isolat trach tb-oth test        Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01230       TB laryngitis-unspec            Tuberculous laryngitis, unspecified
01231       TB laryngitis-no exam           Tuberculous laryngitis, bacteriological or histological examination not done
01232       TB laryngitis-exam unkn         Tuberculous laryngitis, bacteriological or histological examination unknown (at present)
01233       TB laryngitis-micro dx          Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy
01234       TB laryngitis-cult dx           Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01235       TB laryngitis-histo dx          Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01236       TB laryngitis-oth test          Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01280       Resp TB NEC-unspec              Other specified respiratory tuberculosis, unspecified
01281       Resp TB NEC-no exam             Other specified respiratory tuberculosis, bacteriological or histological examination not done
01282       Resp TB NEC-exam unkn           Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)
01283       Resp TB NEC-micro dx            Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy
01284       Resp TB NEC-cult dx             Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01285       Resp TB NEC-histo dx            Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01286       Resp TB NEC-oth test            Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01300       TB meningitis-unspec            Tuberculous meningitis, unspecified
01301       TB meningitis-no exam           Tuberculous meningitis, bacteriological or histological examination not done
01302       TB meningitis-exam unkn         Tuberculous meningitis, bacteriological or histological examination unknown (at present)
01303       TB meningitis-micro dx          Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy
01304       TB meningitis-cult dx           Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01305       TB meningitis-histo dx          Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01306       TB meningitis-oth test          Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01310       Tubrclma meninges-unspec        Tuberculoma of meninges, unspecified
01311       Tubrclma mening-no exam         Tuberculoma of meninges, bacteriological or histological examination not done
01312       Tubrclma menin-exam unkn        Tuberculoma of meninges, bacteriological or histological examination unknown (at present)
01313       Tubrclma mening-micro dx        Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy
01314       Tubrclma mening-cult dx         Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01315       Tubrclma mening-histo dx        Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01316       Tubrclma mening-oth test        Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01320       Tuberculoma brain-unspec        Tuberculoma of brain, unspecified
01321       Tubrcloma brain-no exam         Tuberculoma of brain, bacteriological or histological examination not done
01322       Tubrclma brain-exam unkn        Tuberculoma of brain, bacteriological or histological examination unknown (at present)
01323       Tubrcloma brain-micro dx        Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy
01324       Tubrcloma brain-cult dx         Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01325       Tubrcloma brain-histo dx        Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01326       Tubrcloma brain-oth test        Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01330       TB brain abscess-unspec         Tuberculous abscess of brain, unspecified
01331       TB brain abscess-no exam        Tuberculous abscess of brain, bacteriological or histological examination not done
01332       TB brain absc-exam unkn         Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)
01333       TB brain absc-micro dx          Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy
01334       TB brain abscess-cult dx        Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01335       TB brain absc-histo dx          Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01336       TB brain absc-oth test          Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01340       Tubrclma sp cord-unspec         Tuberculoma of spinal cord, unspecified
01341       Tubrclma sp cord-no exam        Tuberculoma of spinal cord, bacteriological or histological examination not done
01342       Tubrclma sp cd-exam unkn        Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)
01343       Tubrclma sp crd-micro dx        Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy
01344       Tubrclma sp cord-cult dx        Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01345       Tubrclma sp crd-histo dx        Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01346       Tubrclma sp crd-oth test        Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01350       TB sp crd abscess-unspec        Tuberculous abscess of spinal cord, unspecified
01351       TB sp crd absc-no exam          Tuberculous abscess of spinal cord, bacteriological or histological examination not done
01352       TB sp crd absc-exam unkn        Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)
01353       TB sp crd absc-micro dx         Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy
01354       TB sp crd absc-cult dx          Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01355       TB sp crd absc-histo dx         Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01356       TB sp crd absc-oth test         Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01360       TB encephalitis-unspec          Tuberculous encephalitis or myelitis, unspecified
01361       TB encephalitis-no exam         Tuberculous encephalitis or myelitis, bacteriological or histological examination not done
01362       TB encephalit-exam unkn         Tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present)
01363       TB encephalitis-micro dx        Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy
01364       TB encephalitis-cult dx         Tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01365       TB encephalitis-histo dx        Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01366       TB encephalitis-oth test        Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01380       Cns TB NEC-unspec               Other specified tuberculosis of central nervous system, unspecified
01381       Cns TB NEC-no exam              Other specified tuberculosis of central nervous system, bacteriological or histological examination not done
01382       Cns TB NEC-exam unkn            Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)
01383       Cns TB NEC-micro dx             Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy
01384       Cns TB NEC-cult dx              Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01385       Cns TB NEC-histo dx             Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01386       Cns TB NEC-oth test             Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01390       Cns TB NOS-unspec               Unspecified tuberculosis of central nervous system, unspecified
01391       Cns TB NOS-no exam              Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done
01392       Cns TB NOS-exam unkn            Unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)
01393       Cns TB NOS-micro dx             Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy
01394       Cns TB NOS-cult dx              Unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01395       Cns TB NOS-histo dx             Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01396       Cns TB NOS-oth test             Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01400       TB peritonitis-unspec           Tuberculous peritonitis, unspecified
01401       TB peritonitis-no exam          Tuberculous peritonitis, bacteriological or histological examination not done
01402       TB peritonitis-exam unkn        Tuberculous peritonitis, bacteriological or histological examination unknown (at present)
01403       TB peritonitis-micro dx         Tuberculous peritonitis, tubercle bacilli found (in sputum) by microscopy
01404       TB peritonitis-cult dx          Tuberculous peritonitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01405       TB peritonitis-histo dx         Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01406       TB peritonitis-oth test         Tuberculous peritonitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01480       Intestinal TB NEC-unspec        Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified
01481       Intestin TB NEC-no exam         Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done
01482       Intest TB NEC-exam unkn         Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination unknown (at present)
01483       Intestin TB NEC-micro dx        Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli found (in sputum) by microscopy
